fecha,periodo,comprobante,tipo_comprobante,codigo_cliente,razon_social,codigo_producto,cantidad,precio_unitario,bonificacion_pct,importe,vendedor,importe_recalculado,diferencia_importe,importe_reconciliado
2025-06-27,2025-06,FAC 0003-00042320,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,2.00,5909.22,0.00,11818.45,,11818.44,0.01,true
2025-05-10,2025-05,FAC 0003-00041841,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,3.00,8945.76,0.00,26837.29,,26837.28,0.01,true
2025-06-09,2025-06,FAC 0003-00042171,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,3.00,6243.71,0.00,18731.12,,18731.13,-0.01,true
2025-05-22,2025-05,FAC 0003-00041686,FAC,C0129,Bar San Telmo II,CAF-BRAS-1K,8.00,18546.10,32.00,100890.76,,100890.78,-0.02,true
2025-01-05,2025-01,FAC 0003-00040047,FAC,C0133,El Almacen de Barracas II,CAF-BRAS-1K,4.00,17000.00,35.00,44200.00,M. Paz,44200.00,0.00,true
2025-01-10,2025-01,FAC 0003-00040022,FAC,C0109,Usina Colegiales II,CAF-BLEND-1K,4.00,18000.00,32.00,48960.00,M. Paz,48960.00,0.00,true
2025-05-14,2025-05,FAC 0003-00041870,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,2.00,8945.76,0.00,17891.53,,17891.52,0.01,true
2025-05-28,2025-05,FAC 0003-00041731,FAC,C9002,VENTA ONLINE,CAP-TAZA,3.00,9709.43,0.00,29128.28,,29128.29,-0.01,true
2025-04-21,2025-04,FAC 0003-00041391,FAC,C9002,VENTA ONLINE,CAF-CAPS-10,3.00,7365.49,0.00,22096.48,,22096.47,0.01,true
2025-04-27,2025-04,FAC 0003-00041282,FAC,C0134,Bar Agronomia,CAP-FILTRO-100,2.00,3415.88,35.00,4440.64,M. Paz,4440.64,-0.00,true
2025-02-01,2025-02,FAC 0003-00040834,FAC,C9001,CONSUMIDOR FINAL,CAP-FILTRO-100,2.00,3270.40,0.00,6540.80,,6540.80,0.00,true
2025-04-12,2025-04,FAC 0003-00041292,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,2.00,5657.55,0.00,11315.10,,11315.10,0.00,true
2025-03-07,2025-03,FAC 0003-00040909,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,3.00,9922.60,0.00,29767.79,,29767.80,-0.01,true
2025-06-26,2025-06,FAC 0003-00042283,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,10592.00,0.00,21184.01,,21184.00,0.01,true
2025-04-05,2025-04,FAC 0003-00041325,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,5977.79,0.00,11955.58,,11955.58,0.00,true
2025-04-14,2025-04,FAC 0003-00041265,FAC,C0120,Tostado Chacarita,CAF-BRAS-1K,8.00,18146.87,32.00,98718.95,,98718.97,-0.02,true
2025-01-23,2025-01,FAC 0003-00040084,FAC,C9002,VENTA ONLINE,CAF-DESCA-250,1.00,7400.00,0.00,7400.00,,7400.00,0.00,true
2025-05-22,2025-05,FAC 0003-00042021,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-1K,2.00,19637.04,0.00,39274.09,,39274.08,0.01,true
2025-01-04,2025-01,FAC 0003-00040038,FAC,C0125,Usina Flores II,CAF-BLEND-1K,9.00,18000.00,32.00,110160.00,R. Ibarra,110160.00,0.00,true
2025-06-09,2025-06,FAC 0003-00042296,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,9142.57,0.00,9142.57,,9142.57,0.00,true
2025-03-27,2025-03,FAC 0003-00041101,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,3.00,5849.11,0.00,17547.33,,17547.33,0.00,true
2025-05-16,2025-05,FAC 0003-00041667,FAC,C0112,La Ventanita de Recoleta,CAF-BRAS-1K,3.00,18546.10,35.00,36164.89,R. Ibarra,36164.90,-0.01,true
2025-04-02,2025-04,FAC 0003-00041435,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10140.90,0.00,10140.90,,10140.90,0.00,true
2025-02-14,2025-02,FAC 0003-00040431,FAC,C0107,La Ventanita de Nunez II,CAF-BLEND-1K,3.00,18396.00,35.00,35872.20,R. Ibarra,35872.20,0.00,true
2025-05-10,2025-05,FAC 0003-00041844,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10363.99,0.00,10363.99,,10363.99,0.00,true
2025-06-18,2025-06,FAC 0003-00042125,FAC,C0128,La Ventanita de San Telmo,CAF-BRAS-1K,2.00,18954.11,32.00,25777.59,M. Paz,25777.59,0.00,true
2025-01-19,2025-01,FAC 0003-00040034,FAC,C0122,El Almacen de Almagro,CAF-BLEND-1K,6.00,18000.00,32.00,73440.00,R. Ibarra,73440.00,0.00,true
2025-05-27,2025-05,FAC 0003-00042038,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,2.00,8945.76,0.00,17891.53,,17891.52,0.01,true
2025-05-02,2025-05,FAC 0003-00042076,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,2.00,8945.76,0.00,17891.53,,17891.52,0.01,true
2025-05-20,2025-05,FAC 0003-00042046,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,1.00,8945.76,0.00,8945.76,,8945.76,0.00,true
2025-05-03,2025-05,FAC 0003-00041687,FAC,C0131,Tostado Coghlan II,CAF-BRAS-1K,3.00,18546.10,35.00,36164.89,R. Ibarra,36164.90,-0.01,true
2025-05-16,2025-05,FAC 0003-00041736,FAC,C9002,VENTA ONLINE,CAF-DESCA-250,3.00,8073.01,0.00,24219.02,,24219.03,-0.01,true
2025-04-15,2025-04,FAC 0003-00041302,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,2.00,8753.19,0.00,17506.39,,17506.38,0.01,true
2025-06-10,2025-06,FAC 0003-00042334,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,9142.57,0.00,9142.57,,9142.57,0.00,true
2025-01-20,2025-01,FAC 0003-00040108,FAC,C9002,VENTA ONLINE,CAP-FILTRO-100,3.00,3200.00,0.00,9600.00,,9600.00,0.00,true
2025-02-13,2025-02,FAC 0003-00040825,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5723.20,0.00,11446.40,,11446.40,0.00,true
2025-04-08,2025-04,FAC 0003-00041421,FAC,C9002,VENTA ONLINE,CAF-DESCA-250,3.00,7899.22,0.00,23697.67,,23697.66,0.01,true
2025-06-25,2025-06,FAC 0003-00042325,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,9142.57,0.00,9142.57,,9142.57,0.00,true
2025-02-06,2025-02,FAC 0003-00040492,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,3.00,5723.20,0.00,17169.60,,17169.60,0.00,true
2025-01-07,2025-01,FAC 0003-00040090,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,1.00,5600.00,0.00,5600.00,,5600.00,0.00,true
2025-04-15,2025-04,FAC 0003-00041343,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,1.00,5657.55,0.00,5657.55,,5657.55,0.00,true
2025-02-26,2025-02,FAC 0003-00040612,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,3.00,8380.40,0.00,25141.20,,25141.20,0.00,true
2025-02-25,2025-02,FAC 0003-00040486,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,9709.00,0.00,19418.00,,19418.00,0.00,true
2025-03-19,2025-03,FAC 0003-00040921,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,1.00,5849.11,0.00,5849.11,,5849.11,0.00,true
2025-06-01,2025-06,FAC 0003-00042103,FAC,C0110,Panaderia Devoto,CAF-BRAS-1K,8.00,18954.11,35.00,98561.37,M. Paz,98561.37,-0.00,true
2025-04-06,2025-04,FAC 0003-00041452,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,1.00,5977.79,0.00,5977.79,,5977.79,0.00,true
2025-04-06,2025-04,FAC 0003-00041532,FAC,C9001,CONSUMIDOR FINAL,CAP-FILTRO-100,2.00,3415.88,0.00,6831.76,,6831.76,0.00,true
2025-03-11,2025-03,FAC 0003-00040944,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,3.00,5535.77,0.00,16607.30,,16607.31,-0.01,true
2025-01-10,2025-01,FAC 0003-00040086,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,3.00,5600.00,0.00,16800.00,,16800.00,0.00,true
2025-06-24,2025-06,FAC 0003-00042138,FAC,C0137,Panaderia Villa Urquiza II,CAF-BRAS-1K,8.00,18954.11,30.00,106143.02,,106143.02,0.00,true
2025-02-01,2025-02,FAC 0003-00040593,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,9709.00,0.00,19418.00,,19418.00,0.00,true
2025-06-24,2025-06,FAC 0003-00042138,FAC,C0137,Panaderia Villa Urquiza II,CAF-BLEND-1K,7.00,20069.06,30.00,98338.38,,98338.39,-0.01,true
2025-05-19,2025-05,FAC 0003-00041715,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10363.99,0.00,10363.99,,10363.99,0.00,true
2025-05-15,2025-05,FAC 0003-00041920,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,6109.30,0.00,12218.60,,12218.60,0.00,true
2025-06-17,2025-06,FAC 0003-00042188,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,2.00,9142.57,0.00,18285.14,,18285.14,0.00,true
2025-05-17,2025-05,FAC 0003-00041863,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,1.00,6109.30,0.00,6109.30,,6109.30,0.00,true
2025-04-25,2025-04,FAC 0003-00041530,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5977.79,0.00,11955.58,,11955.58,0.00,true
2025-02-01,2025-02,FAC 0003-00040436,FAC,C0111,Cafe Devoto II,CAF-BRAS-1K,4.00,17374.00,35.00,45172.40,,45172.40,0.00,true
2025-05-17,2025-05,FAC 0003-00042056,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-1K,1.00,19637.04,0.00,19637.04,,19637.04,0.00,true
2025-03-24,2025-03,FAC 0003-00040864,FAC,C0119,Coffee Lab Saavedra II,CAF-BLEND-1K,5.00,18800.71,35.00,61102.31,M. Paz,61102.31,0.00,true
2025-04-16,2025-04,FAC 0003-00041561,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,2.00,8753.19,0.00,17506.39,,17506.38,0.01,true
2025-01-19,2025-01,FAC 0003-00040066,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,9500.00,0.00,19000.00,,19000.00,0.00,true
2025-02-12,2025-02,FAC 0003-00040735,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,1.00,5723.20,0.00,5723.20,,5723.20,0.00,true
2025-02-22,2025-02,FAC 0003-00040429,FAC,C0106,El Almacen de Nunez,CAP-FILTRO-100,4.00,3270.40,30.00,9157.12,M. Paz,9157.12,0.00,true
2025-04-04,2025-04,FAC 0003-00041344,FAC,C9002,VENTA ONLINE,CAP-TAZA,1.00,9500.42,0.00,9500.42,,9500.42,0.00,true
2025-02-23,2025-02,FAC 0003-00040771,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,1.00,5723.20,0.00,5723.20,,5723.20,0.00,true
2025-05-26,2025-05,FAC 0003-00041932,FAC,C9002,VENTA ONLINE,CAP-FILTRO-100,3.00,3491.03,0.00,10473.09,,10473.09,0.00,true
2025-01-01,2025-01,FAC 0003-00040363,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5600.00,0.00,11200.00,,11200.00,0.00,true
2025-02-17,2025-02,FAC 0003-00040544,FAC,C9002,VENTA ONLINE,CAF-DESCA-250,2.00,7562.80,0.00,15125.60,,15125.60,0.00,true
2025-01-05,2025-01,FAC 0003-00040397,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,1.00,8200.00,0.00,8200.00,,8200.00,0.00,true
2025-03-06,2025-03,FAC 0003-00041109,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,9922.60,0.00,19845.20,,19845.20,0.00,true
2025-02-28,2025-02,FAC 0003-00040797,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,1.00,8380.40,0.00,8380.40,,8380.40,0.00,true
2025-03-17,2025-03,FAC 0003-00040907,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,3.00,5535.77,0.00,16607.30,,16607.31,-0.01,true
2025-02-19,2025-02,FAC 0003-00040641,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,9709.00,0.00,9709.00,,9709.00,0.00,true
2025-06-09,2025-06,FAC 0003-00042122,FAC,C0125,Usina Flores II,CAF-BLEND-1K,9.00,20069.06,32.00,122822.63,M. Paz,122822.65,-0.02,true
2025-04-16,2025-04,FAC 0003-00041509,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,5977.79,0.00,11955.58,,11955.58,0.00,true
2025-05-28,2025-05,FAC 0003-00041670,FAC,C0114,Usina Boedo,CAF-BRAS-1K,4.00,18546.10,32.00,50445.38,,50445.39,-0.01,true
2025-06-02,2025-06,FAC 0003-00042123,FAC,C0126,Panaderia Parque Chas,CAF-BRAS-1K,5.00,18954.11,32.00,64443.97,M. Paz,64443.97,-0.00,true
2025-05-05,2025-05,FAC 0003-00041654,FAC,C0103,Coffee Lab Belgrano II,CAF-BLEND-1K,6.00,19637.04,35.00,76584.47,M. Paz,76584.46,0.01,true
2025-02-09,2025-02,FAC 0003-00040435,FAC,C0111,Cafe Devoto II,CAF-BLEND-1K,4.00,18396.00,35.00,47829.60,R. Ibarra,47829.60,0.00,true
2025-01-07,2025-01,FAC 0003-00040161,FAC,C9002,VENTA ONLINE,CAF-BLEND-250,2.00,5600.00,0.00,11200.00,,11200.00,0.00,true
2025-01-22,2025-01,FAC 0003-00040080,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,9500.00,0.00,9500.00,,9500.00,0.00,true
2025-02-07,2025-02,FAC 0003-00040795,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,1.00,5723.20,0.00,5723.20,,5723.20,0.00,true
2025-03-22,2025-03,FAC 0003-00041066,FAC,C9002,VENTA ONLINE,CAP-FILTRO-100,1.00,3342.35,0.00,3342.35,,3342.35,0.00,true
2025-05-06,2025-05,FAC 0003-00041856,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10363.99,0.00,10363.99,,10363.99,0.00,true
2025-06-26,2025-06,FAC 0003-00042109,FAC,C0114,Usina Boedo,CAF-BLEND-1K,5.00,20069.06,32.00,68234.80,,68234.80,-0.00,true
2025-04-16,2025-04,FAC 0003-00041382,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,3.00,8753.19,0.00,26259.58,,26259.57,0.01,true
2025-02-14,2025-02,FAC 0003-00040705,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-1K,1.00,18396.00,0.00,18396.00,,18396.00,0.00,true
2025-06-21,2025-06,FAC 0003-00042336,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,2.00,5909.22,0.00,11818.45,,11818.44,0.01,true
2025-06-07,2025-06,FAC 0003-00042083,FAC,C0001,GRANOS DEL SUR S.A.,CAF-BLEND-CJ6,8.00,113724.66,40.00,545878.37,R. Ibarra,545878.37,0.00,true
2025-03-19,2025-03,FAC 0003-00041228,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,1.00,5849.11,0.00,5849.11,,5849.11,0.00,true
2025-05-12,2025-05,FAC 0003-00041898,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,8945.76,0.00,8945.76,,8945.76,0.00,true
2025-04-06,2025-04,FAC 0003-00041452,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,10140.90,0.00,20281.79,,20281.80,-0.01,true
2025-02-20,2025-02,FAC 0003-00040682,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,9709.00,0.00,19418.00,,19418.00,0.00,true
2025-01-03,2025-01,FAC 0003-00040214,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,8200.00,0.00,8200.00,,8200.00,0.00,true
2025-06-15,2025-06,FAC 0003-00042507,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,2.00,9142.57,0.00,18285.14,,18285.14,0.00,true
2025-02-21,2025-02,FAC 0003-00040528,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,3.00,9709.00,0.00,29127.00,,29127.00,0.00,true
2025-04-21,2025-04,FAC 0003-00041550,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,1.00,5977.79,0.00,5977.79,,5977.79,0.00,true
2025-06-02,2025-06,FAC 0003-00042258,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,10592.00,0.00,21184.01,,21184.00,0.01,true
2025-04-02,2025-04,FAC 0003-00041259,FAC,C0112,La Ventanita de Recoleta,CAF-BLEND-1K,4.00,19214.33,35.00,49957.25,,49957.26,-0.01,true
2025-04-05,2025-04,FAC 0003-00041311,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10140.90,0.00,10140.90,,10140.90,0.00,true
2025-02-19,2025-02,FAC 0003-00040432,FAC,C0108,Coffee Lab Colegiales,CAP-FILTRO-100,5.00,3270.40,32.00,11119.36,R. Ibarra,11119.36,0.00,true
2025-03-17,2025-03,FAC 0003-00040880,FAC,C0133,El Almacen de Barracas II,CAF-BLEND-1K,3.00,18800.71,35.00,36661.39,M. Paz,36661.38,0.01,true
2025-06-23,2025-06,FAC 0003-00042330,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,3.00,9142.57,0.00,27427.71,,27427.71,0.00,true
2025-02-07,2025-02,FAC 0003-00040684,FAC,C9002,VENTA ONLINE,CAP-TAZA,2.00,9095.80,0.00,18191.60,,18191.60,0.00,true
2025-03-05,2025-03,FAC 0003-00041094,FAC,C9002,VENTA ONLINE,CAF-DESCA-250,1.00,7729.18,0.00,7729.18,,7729.18,0.00,true
2025-04-07,2025-04,FAC 0003-00041270,FAC,C0124,Coffee Lab Flores,CAF-BLEND-1K,4.00,19214.33,35.00,49957.25,M. Paz,49957.26,-0.01,true
2025-02-14,2025-02,FAC 0003-00040798,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5723.20,0.00,11446.40,,11446.40,0.00,true
2025-04-18,2025-04,FAC 0003-00041548,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5977.79,0.00,11955.58,,11955.58,0.00,true
2025-02-21,2025-02,FAC 0003-00040523,FAC,C9002,VENTA ONLINE,CAP-TAZA,1.00,9095.80,0.00,9095.80,,9095.80,0.00,true
2025-03-12,2025-03,FAC 0003-00040939,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,9922.60,0.00,9922.60,,9922.60,0.00,true
2025-06-05,2025-06,FAC 0003-00042169,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,1.00,9142.57,0.00,9142.57,,9142.57,0.00,true
2025-03-01,2025-03,FAC 0003-00040878,FAC,C0132,Cafe Barracas,CAF-BRAS-1K,4.00,17756.23,35.00,46166.19,,46166.20,-0.01,true
2025-02-21,2025-02,FAC 0003-00040570,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,3.00,5416.60,0.00,16249.80,,16249.80,0.00,true
2025-01-15,2025-01,FAC 0003-00040207,FAC,C9002,VENTA ONLINE,CAP-TAZA,1.00,8900.00,0.00,8900.00,,8900.00,0.00,true
2025-05-07,2025-05,FAC 0003-00042017,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,6109.30,0.00,12218.60,,12218.60,0.00,true
2025-02-16,2025-02,FAC 0003-00040700,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5723.20,0.00,11446.40,,11446.40,0.00,true
2025-03-20,2025-03,FAC 0003-00040892,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,3.00,5535.77,0.00,16607.30,,16607.31,-0.01,true
2025-03-27,2025-03,FAC 0003-00041019,FAC,C9002,VENTA ONLINE,CAF-BRAS-250,2.00,5535.77,0.00,11071.53,,11071.54,-0.01,true
2025-02-03,2025-02,FAC 0003-00040600,FAC,C9002,VENTA ONLINE,CAF-DESCA-250,2.00,7562.80,0.00,15125.60,,15125.60,0.00,true
2025-06-19,2025-06,FAC 0003-00042479,FAC,C9001,CONSUMIDOR FINAL,CAF-ETIOP-250,2.00,10592.00,0.00,21184.01,,21184.00,0.01,true
2025-04-14,2025-04,FAC 0003-00041315,FAC,C9002,VENTA ONLINE,CAF-CAPS-10,1.00,7365.49,0.00,7365.49,,7365.49,0.00,true
2025-02-03,2025-02,FAC 0003-00040566,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,2.00,9709.00,0.00,19418.00,,19418.00,0.00,true
2025-04-17,2025-04,FAC 0003-00041642,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,1.00,5977.79,0.00,5977.79,,5977.79,0.00,true
2025-04-27,2025-04,FAC 0003-00041340,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,1.00,10140.90,0.00,10140.90,,10140.90,0.00,true
2025-06-04,2025-06,FAC 0003-00042286,FAC,C9002,VENTA ONLINE,CAF-COLOM-250,3.00,9142.57,0.00,27427.71,,27427.71,0.00,true
2025-03-19,2025-03,FAC 0003-00041173,FAC,C9001,CONSUMIDOR FINAL,CAF-COLOM-250,1.00,8564.77,0.00,8564.77,,8564.77,0.00,true
2025-04-06,2025-04,FAC 0003-00041525,FAC,C9001,CONSUMIDOR FINAL,CAP-FILTRO-100,1.00,3415.88,0.00,3415.88,,3415.88,0.00,true
2025-02-09,2025-02,FAC 0003-00040457,FAC,C0128,La Ventanita de San Telmo,CAF-BLEND-1K,7.00,18396.00,32.00,87564.96,,87564.96,0.00,true
2025-05-12,2025-05,FAC 0003-00041690,FAC,C0134,Bar Agronomia,CAF-BRAS-1K,2.00,18546.10,35.00,24109.92,R. Ibarra,24109.93,-0.01,true
2025-02-18,2025-02,FAC 0003-00040802,FAC,C9001,CONSUMIDOR FINAL,CAF-BLEND-250,2.00,5723.20,0.00,11446.40,,11446.40,0.00,true
2025-05-26,2025-05,FAC 0003-00041803,FAC,C9002,VENTA ONLINE,CAP-TAZA,3.00,9709.43,0.00,29128.28,,29128.29,-0.01,true
2025-01-25,2025-01,FAC 0003-00040190,FAC,C9002,VENTA ONLINE,CAF-ETIOP-250,3.00,9500.00,0.00,28500.00,,28500.00,0.00,true
