fecha;comprobante;tipo_comprobante;codigo_cliente;razon_social;codigo_producto;cantidad;precio_unitario;bonificacion_pct;importe;vendedor
27/06/2025;FAC 0003-00042320;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;2;5909.22;0;11818.45;
10/05/2025;FAC 0003-00041841;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;8945.76;0;26837.29;
09/06/2025;FAC 0003-00042171;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;3;6243.71;0;18731.12;
22/05/2025;FAC 0003-00041686;FAC;C0129;Bar San Telmo II;CAF-BRAS-1K;8;18546.1;32;100890.76;
05/01/2025;FAC 0003-00040047;FAC;C0133;El Almacen de Barracas II;CAF-BRAS-1K;4;17000.0;35;44200.0;M. Paz
10/01/2025;FAC 0003-00040022;FAC;C0109;Usina Colegiales II;CAF-BLEND-1K;4;18000.0;32;48960.0;M. Paz
14/05/2025;FAC 0003-00041870;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;2;8945.76;0;17891.53;
28/05/2025;FAC 0003-00041731;FAC;C9002;VENTA ONLINE;CAP-TAZA;3;9709.43;0;29128.28;
21/04/2025;FAC 0003-00041391;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;3;7365.49;0;22096.48;
27/04/2025;FAC 0003-00041282;FAC;C0134;Bar Agronomia;CAP-FILTRO-100;2;3415.88;35;4440.64;M. Paz
01/02/2025;FAC 0003-00040834;FAC;C9001;CONSUMIDOR FINAL;CAP-FILTRO-100;2;3270.4;0;6540.8;
12/04/2025;FAC 0003-00041292;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;2;5657.55;0;11315.1;
07/03/2025;FAC 0003-00040909;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;3;9922.6;0;29767.79;
26/06/2025;FAC 0003-00042283;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;10592.0;0;21184.01;
05/04/2025;FAC 0003-00041325;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5977.79;0;11955.58;
14/04/2025;FAC 0003-00041265;FAC;C0120;Tostado Chacarita;CAF-BRAS-1K;8;18146.87;32;98718.95;
23/01/2025;FAC 0003-00040084;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;1;7400.0;0;7400.0;
22/05/2025;FAC 0003-00042021;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;2;19637.04;0;39274.09;
04/01/2025;FAC 0003-00040038;FAC;C0125;Usina Flores II;CAF-BLEND-1K;9;18000.0;32;110160.0;R. Ibarra
09/06/2025;FAC 0003-00042296;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;9142.57;0;9142.57;
27/03/2025;FAC 0003-00041101;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;3;5849.11;0;17547.33;
16/05/2025;FAC 0003-00041667;FAC;C0112;La Ventanita de Recoleta;CAF-BRAS-1K;3;18546.1;35;36164.89;R. Ibarra
02/04/2025;FAC 0003-00041435;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10140.9;0;10140.9;
14/02/2025;FAC 0003-00040431;FAC;C0107;La Ventanita de Nunez II;CAF-BLEND-1K;3;18396.0;35;35872.2;R. Ibarra
10/05/2025;FAC 0003-00041844;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10363.99;0;10363.99;
18/06/2025;FAC 0003-00042125;FAC;C0128;La Ventanita de San Telmo;CAF-BRAS-1K;2;18954.11;32;25777.59;M. Paz
19/01/2025;FAC 0003-00040034;FAC;C0122;El Almacen de Almagro;CAF-BLEND-1K;6;18000.0;32;73440.0;R. Ibarra
27/05/2025;FAC 0003-00042038;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;2;8945.76;0;17891.53;
02/05/2025;FAC 0003-00042076;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;2;8945.76;0;17891.53;
20/05/2025;FAC 0003-00042046;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;1;8945.76;0;8945.76;
03/05/2025;FAC 0003-00041687;FAC;C0131;Tostado Coghlan II;CAF-BRAS-1K;3;18546.1;35;36164.89;R. Ibarra
16/05/2025;FAC 0003-00041736;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;3;8073.01;0;24219.02;
15/04/2025;FAC 0003-00041302;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;2;8753.19;0;17506.39;
10/06/2025;FAC 0003-00042334;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;9142.57;0;9142.57;
20/01/2025;FAC 0003-00040108;FAC;C9002;VENTA ONLINE;CAP-FILTRO-100;3;3200.0;0;9600.0;
13/02/2025;FAC 0003-00040825;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
08/04/2025;FAC 0003-00041421;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;3;7899.22;0;23697.67;
25/06/2025;FAC 0003-00042325;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;9142.57;0;9142.57;
06/02/2025;FAC 0003-00040492;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;3;5723.2;0;17169.6;
07/01/2025;FAC 0003-00040090;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;5600.0;0;5600.0;
15/04/2025;FAC 0003-00041343;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;1;5657.55;0;5657.55;
26/02/2025;FAC 0003-00040612;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;8380.4;0;25141.2;
25/02/2025;FAC 0003-00040486;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9709.0;0;19418.0;
19/03/2025;FAC 0003-00040921;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;5849.11;0;5849.11;
01/06/2025;FAC 0003-00042103;FAC;C0110;Panaderia Devoto;CAF-BRAS-1K;8;18954.11;35;98561.37;M. Paz
06/04/2025;FAC 0003-00041452;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;5977.79;0;5977.79;
06/04/2025;FAC 0003-00041532;FAC;C9001;CONSUMIDOR FINAL;CAP-FILTRO-100;2;3415.88;0;6831.76;
11/03/2025;FAC 0003-00040944;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;3;5535.77;0;16607.3;
10/01/2025;FAC 0003-00040086;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;3;5600.0;0;16800.0;
24/06/2025;FAC 0003-00042138;FAC;C0137;Panaderia Villa Urquiza II;CAF-BRAS-1K;8;18954.11;30;106143.02;
01/02/2025;FAC 0003-00040593;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9709.0;0;19418.0;
24/06/2025;FAC 0003-00042138;FAC;C0137;Panaderia Villa Urquiza II;CAF-BLEND-1K;7;20069.06;30;98338.38;
19/05/2025;FAC 0003-00041715;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10363.99;0;10363.99;
15/05/2025;FAC 0003-00041920;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;6109.3;0;12218.6;
17/06/2025;FAC 0003-00042188;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;2;9142.57;0;18285.14;
17/05/2025;FAC 0003-00041863;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;6109.3;0;6109.3;
25/04/2025;FAC 0003-00041530;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5977.79;0;11955.58;
01/02/2025;FAC 0003-00040436;FAC;C0111;Cafe Devoto II;CAF-BRAS-1K;4;17374.0;35;45172.4;
17/05/2025;FAC 0003-00042056;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;1;19637.04;0;19637.04;
24/03/2025;FAC 0003-00040864;FAC;C0119;Coffee Lab Saavedra II;CAF-BLEND-1K;5;18800.71;35;61102.31;M. Paz
16/04/2025;FAC 0003-00041561;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;2;8753.19;0;17506.39;
19/01/2025;FAC 0003-00040066;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9500.0;0;19000.0;
12/02/2025;FAC 0003-00040735;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5723.2;0;5723.2;
22/02/2025;FAC 0003-00040429;FAC;C0106;El Almacen de Nunez;CAP-FILTRO-100;4;3270.4;30;9157.12;M. Paz
04/04/2025;FAC 0003-00041344;FAC;C9002;VENTA ONLINE;CAP-TAZA;1;9500.42;0;9500.42;
23/02/2025;FAC 0003-00040771;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5723.2;0;5723.2;
26/05/2025;FAC 0003-00041932;FAC;C9002;VENTA ONLINE;CAP-FILTRO-100;3;3491.03;0;10473.09;
01/01/2025;FAC 0003-00040363;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5600.0;0;11200.0;
17/02/2025;FAC 0003-00040544;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;2;7562.8;0;15125.6;
05/01/2025;FAC 0003-00040397;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;1;8200.0;0;8200.0;
06/03/2025;FAC 0003-00041109;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9922.6;0;19845.2;
28/02/2025;FAC 0003-00040797;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;1;8380.4;0;8380.4;
17/03/2025;FAC 0003-00040907;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;3;5535.77;0;16607.3;
19/02/2025;FAC 0003-00040641;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;9709.0;0;9709.0;
09/06/2025;FAC 0003-00042122;FAC;C0125;Usina Flores II;CAF-BLEND-1K;9;20069.06;32;122822.63;M. Paz
16/04/2025;FAC 0003-00041509;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5977.79;0;11955.58;
28/05/2025;FAC 0003-00041670;FAC;C0114;Usina Boedo;CAF-BRAS-1K;4;18546.1;32;50445.38;
02/06/2025;FAC 0003-00042123;FAC;C0126;Panaderia Parque Chas;CAF-BRAS-1K;5;18954.11;32;64443.97;M. Paz
05/05/2025;FAC 0003-00041654;FAC;C0103;Coffee Lab Belgrano II;CAF-BLEND-1K;6;19637.04;35;76584.47;M. Paz
09/02/2025;FAC 0003-00040435;FAC;C0111;Cafe Devoto II;CAF-BLEND-1K;4;18396.0;35;47829.6;R. Ibarra
07/01/2025;FAC 0003-00040161;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5600.0;0;11200.0;
22/01/2025;FAC 0003-00040080;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;9500.0;0;9500.0;
07/02/2025;FAC 0003-00040795;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5723.2;0;5723.2;
22/03/2025;FAC 0003-00041066;FAC;C9002;VENTA ONLINE;CAP-FILTRO-100;1;3342.35;0;3342.35;
06/05/2025;FAC 0003-00041856;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10363.99;0;10363.99;
26/06/2025;FAC 0003-00042109;FAC;C0114;Usina Boedo;CAF-BLEND-1K;5;20069.06;32;68234.8;
16/04/2025;FAC 0003-00041382;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;8753.19;0;26259.58;
14/02/2025;FAC 0003-00040705;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;1;18396.0;0;18396.0;
21/06/2025;FAC 0003-00042336;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;2;5909.22;0;11818.45;
07/06/2025;FAC 0003-00042083;FAC;C0001;GRANOS DEL SUR S.A.;CAF-BLEND-CJ6;8;113724.66;40;545878.37;R. Ibarra
19/03/2025;FAC 0003-00041228;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5849.11;0;5849.11;
12/05/2025;FAC 0003-00041898;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;8945.76;0;8945.76;
06/04/2025;FAC 0003-00041452;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;10140.9;0;20281.79;
20/02/2025;FAC 0003-00040682;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9709.0;0;19418.0;
03/01/2025;FAC 0003-00040214;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;8200.0;0;8200.0;
15/06/2025;FAC 0003-00042507;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;2;9142.57;0;18285.14;
21/02/2025;FAC 0003-00040528;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;3;9709.0;0;29127.0;
21/04/2025;FAC 0003-00041550;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5977.79;0;5977.79;
02/06/2025;FAC 0003-00042258;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;10592.0;0;21184.01;
02/04/2025;FAC 0003-00041259;FAC;C0112;La Ventanita de Recoleta;CAF-BLEND-1K;4;19214.33;35;49957.25;
05/04/2025;FAC 0003-00041311;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10140.9;0;10140.9;
19/02/2025;FAC 0003-00040432;FAC;C0108;Coffee Lab Colegiales;CAP-FILTRO-100;5;3270.4;32;11119.36;R. Ibarra
17/03/2025;FAC 0003-00040880;FAC;C0133;El Almacen de Barracas II;CAF-BLEND-1K;3;18800.71;35;36661.39;M. Paz
23/06/2025;FAC 0003-00042330;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;9142.57;0;27427.71;
07/02/2025;FAC 0003-00040684;FAC;C9002;VENTA ONLINE;CAP-TAZA;2;9095.8;0;18191.6;
05/03/2025;FAC 0003-00041094;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;1;7729.18;0;7729.18;
07/04/2025;FAC 0003-00041270;FAC;C0124;Coffee Lab Flores;CAF-BLEND-1K;4;19214.33;35;49957.25;M. Paz
14/02/2025;FAC 0003-00040798;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
18/04/2025;FAC 0003-00041548;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5977.79;0;11955.58;
21/02/2025;FAC 0003-00040523;FAC;C9002;VENTA ONLINE;CAP-TAZA;1;9095.8;0;9095.8;
12/03/2025;FAC 0003-00040939;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;9922.6;0;9922.6;
05/06/2025;FAC 0003-00042169;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;9142.57;0;9142.57;
01/03/2025;FAC 0003-00040878;FAC;C0132;Cafe Barracas;CAF-BRAS-1K;4;17756.23;35;46166.19;
21/02/2025;FAC 0003-00040570;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;3;5416.6;0;16249.8;
15/01/2025;FAC 0003-00040207;FAC;C9002;VENTA ONLINE;CAP-TAZA;1;8900.0;0;8900.0;
07/05/2025;FAC 0003-00042017;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;6109.3;0;12218.6;
16/02/2025;FAC 0003-00040700;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
20/03/2025;FAC 0003-00040892;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;3;5535.77;0;16607.3;
27/03/2025;FAC 0003-00041019;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;2;5535.77;0;11071.53;
03/02/2025;FAC 0003-00040600;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;2;7562.8;0;15125.6;
19/06/2025;FAC 0003-00042479;FAC;C9001;CONSUMIDOR FINAL;CAF-ETIOP-250;2;10592.0;0;21184.01;
14/04/2025;FAC 0003-00041315;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;1;7365.49;0;7365.49;
03/02/2025;FAC 0003-00040566;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9709.0;0;19418.0;
17/04/2025;FAC 0003-00041642;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5977.79;0;5977.79;
27/04/2025;FAC 0003-00041340;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10140.9;0;10140.9;
04/06/2025;FAC 0003-00042286;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;9142.57;0;27427.71;
19/03/2025;FAC 0003-00041173;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;1;8564.77;0;8564.77;
06/04/2025;FAC 0003-00041525;FAC;C9001;CONSUMIDOR FINAL;CAP-FILTRO-100;1;3415.88;0;3415.88;
09/02/2025;FAC 0003-00040457;FAC;C0128;La Ventanita de San Telmo;CAF-BLEND-1K;7;18396.0;32;87564.96;
12/05/2025;FAC 0003-00041690;FAC;C0134;Bar Agronomia;CAF-BRAS-1K;2;18546.1;35;24109.92;R. Ibarra
18/02/2025;FAC 0003-00040802;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
26/05/2025;FAC 0003-00041803;FAC;C9002;VENTA ONLINE;CAP-TAZA;3;9709.43;0;29128.28;
25/01/2025;FAC 0003-00040190;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;3;9500.0;0;28500.0;
18/03/2025;FAC 0003-00040850;FAC;C0104;Tostado Villa Crespo;CAF-BLEND-1K;3;18800.71;35;36661.39;M. Paz
19/02/2025;FAC 0003-00040768;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
03/03/2025;FAC 0003-00041022;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9922.6;0;19845.2;
19/02/2025;FAC 0003-00040784;FAC;C9001;CONSUMIDOR FINAL;CAF-ETIOP-250;1;9709.0;0;9709.0;
04/03/2025;FAC 0003-00041100;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;5849.11;0;5849.11;
22/02/2025;FAC 0003-00040414;FAC;C0001;GRANOS DEL SUR S.A.;BLEND1K;35;18396.0;40;386316.0;M. Paz
17/03/2025;FAC 0003-00040862;FAC;C0117;El Almacen de Caballito II;CAF-BRAS-1K;3;17756.23;32;36222.71;
01/04/2025;FAC 0003-00041291;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;8753.19;0;26259.58;
23/01/2025;FAC 0003-00040084;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5600.0;0;11200.0;
18/04/2025;FAC 0003-00041385;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;1;5657.55;0;5657.55;
06/03/2025;FAC 0003-00041070;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;3;9922.6;0;29767.79;
23/06/2025;FAC 0003-00042271;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;10592.0;0;21184.01;
19/02/2025;FAC 0003-00040644;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;1;5723.2;0;5723.2;
13/03/2025;FAC 0003-00041104;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;1;8564.77;0;8564.77;
02/05/2025;FAC 0003-00042054;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;2;19637.04;0;39274.09;
02/02/2025;FAC 0003-00040507;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;3;5723.2;0;17169.6;
09/01/2025;FAC 0003-00040173;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;2;5300.0;0;10600.0;
01/02/2025;FAC 0003-00040468;FAC;C0136;Tostado Villa Urquiza;CAF-BRAS-1K;7;17374.0;35;79051.7;M. Paz
18/02/2025;FAC 0003-00040525;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;2;9709.0;0;19418.0;
12/02/2025;FAC 0003-00040635;FAC;C9002;VENTA ONLINE;CAP-TAZA;1;9095.8;0;9095.8;
20/04/2025;FAC 0003-00041457;FAC;C9002;VENTA ONLINE;CAP-FILTRO-100;3;3415.88;0;10247.64;
21/05/2025;FAC 0003-00041713;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;3;6109.3;0;18327.91;
13/04/2025;FAC 0003-00041566;FAC;C9001;CONSUMIDOR FINAL;CAF-ETIOP-250;1;10140.9;0;10140.9;
08/03/2025;FAC 0003-00041179;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;1;18800.71;0;18800.71;
26/01/2025;FAC 0003-00040357;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;2;18000.0;0;36000.0;
20/02/2025;FAC 0003-00040451;FAC;C0124;Coffee Lab Flores;CAF-BLEND-1K;4;18396.0;35;47829.6;
14/01/2025;FAC 0003-00040348;FAC;C9001;CONSUMIDOR FINAL;CAF-ETIOP-250;2;9500.0;0;19000.0;
22/03/2025;FAC 0003-00041012;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;1;7729.18;0;7729.18;
01/01/2025;FAC 0003-00040102;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;3;9500.0;0;28500.0;
24/05/2025;FAC 0003-00041909;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;1;7527.53;0;7527.53;
25/06/2025;FAC 0003-00042151;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;3;9142.57;0;27427.71;
03/01/2025;FAC 0003-00040001;FAC;C0001;GRANOS DEL SUR S.A.;CAF-BLEND-CJ6;4;102000.0;40;244800.0;
20/06/2025;FAC 0003-00042371;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;6243.71;0;12487.41;
22/01/2025;FAC 0003-00040016;FAC;C0105;Panaderia Villa Crespo II;CAP-FILTRO-100;6;3200.0;32;13056.0;M. Paz
13/02/2025;FAC 0003-00040575;FAC;C9002;VENTA ONLINE;CAF-BLEND-250;2;5723.2;0;11446.4;
06/05/2025;FAC 0003-00041722;FAC;C9002;VENTA ONLINE;CAF-ETIOP-250;1;10363.99;0;10363.99;
20/06/2025;FAC 0003-00042480;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;1;20069.06;0;20069.06;
16/01/2025;FAC 0003-00040025;FAC;C0112;La Ventanita de Recoleta;CAF-BLEND-1K;9;18000.0;35;105300.0;M. Paz
22/06/2025;FAC 0003-00042383;FAC;C9002;VENTA ONLINE;CAF-COLOM-250;2;9142.57;0;18285.14;
28/01/2025;FAC 0003-00040408;FAC;C9001;CONSUMIDOR FINAL;CAF-COLOM-250;1;8200.0;0;8200.0;
24/03/2025;FAC 0003-00040836;FAC;C0001;GRANOS DEL SUR S.A.;CAF-BLEND-CJ6;8;106537.37;40;511379.37;
25/04/2025;FAC 0003-00041503;FAC;C9002;VENTA ONLINE;CAF-BRAS-250;2;5657.55;0;11315.1;
07/04/2025;FAC 0003-00041238;FAC;C0001;GRANOS DEL SUR S.A.;BLEND1K;38;19214.33;40;438086.67;M. Paz
10/02/2025;FAC 0003-00040785;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
08/03/2025;FAC 0003-00040841;FAC;C0001;GRANOS DEL SUR S.A.;BLEND1K;49;18800.71;40;552740.93;M. Paz
05/02/2025;FAC 0003-00040455;FAC;C0127;Cafe Parque Chas II;CAP-FILTRO-100;6;3270.4;32;13343.23;R. Ibarra
10/02/2025;FAC 0003-00040812;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
10/02/2025;FAC 0003-00040800;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;1;5723.2;0;5723.2;
11/06/2025;FAC 0003-00042211;FAC;C9002;VENTA ONLINE;CAF-CAPS-10;3;7693.14;0;23079.42;
27/02/2025;FAC 0003-00040822;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-250;2;5723.2;0;11446.4;
18/03/2025;FAC 0003-00040942;FAC;C9002;VENTA ONLINE;CAF-DESCA-250;2;7729.18;0;15458.36;
15/04/2025;FAC 0003-00041640;FAC;C9001;CONSUMIDOR FINAL;CAF-BLEND-1K;2;19214.33;0;38428.66;
