fecha,periodo,comprobante,tipo_comprobante,es_nota_credito,codigo_cliente,razon_social,condicion_comercial,localidad,codigo_producto_original,codigo_producto,codigo_normalizado,motivo_normalizacion,producto,unidad_medida,rubro,producto_activo,cantidad,precio_unitario,bonificacion_pct,importe_neto,costo_unitario,costo_total,margen_bruto,margen_bruto_pct,vendedor
2025-05-01,2025-05,FAC 0003-00041669,FAC,false,C0113,Bar Recoleta II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,4.00,18546.10,30.00,51929.07,10146.00,40584.00,11345.07,0.22,M. Paz
2025-05-20,2025-05,FAC 0003-00041904,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,10363.99,0.00,20727.99,4473.00,8946.00,11781.99,0.57,
2025-01-11,2025-01,FAC 0003-00040046,FAC,false,C0133,El Almacen de Barracas II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,2.00,17000.00,35.00,22100.00,9300.00,18600.00,3500.00,0.16,
2025-04-06,2025-04,FAC 0003-00041371,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,8753.19,0.00,17506.39,3843.00,7686.00,9820.39,0.56,
2025-05-04,2025-05,FAC 0003-00041678,FAC,false,C0122,El Almacen de Almagro,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,4.00,18546.10,32.00,50445.38,10146.00,40584.00,9861.38,0.20,R. Ibarra
2025-06-25,2025-06,FAC 0003-00042303,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,1.00,9142.57,0.00,9142.57,4014.00,4014.00,5128.57,0.56,
2025-06-04,2025-06,FAC 0003-00042311,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BRAS-250,CAF-BRAS-250,false,,Brasil Cerrado 250 g,UN,CAFE,S,3.00,5909.22,0.00,17727.67,2709.00,8127.00,9600.67,0.54,
2025-04-14,2025-04,FAC 0003-00041416,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,1.00,10140.90,0.00,10140.90,4377.00,4377.00,5763.90,0.57,
2025-05-04,2025-05,FAC 0003-00041938,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,6109.30,0.00,6109.30,2793.00,2793.00,3316.30,0.54,
2025-02-07,2025-02,FAC 0003-00040453,FAC,false,C0125,Usina Flores II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,7.00,17374.00,32.00,82700.24,9505.00,66535.00,16165.24,0.20,M. Paz
2025-05-12,2025-05,FAC 0003-00041977,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,1.00,8945.76,0.00,8945.76,3927.00,3927.00,5018.76,0.56,
2025-02-03,2025-02,FAC 0003-00040430,FAC,false,C0106,El Almacen de Nunez,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,4.00,17374.00,30.00,48647.20,9505.00,38020.00,10627.20,0.22,
2025-06-22,2025-06,FAC 0003-00042098,FAC,false,C0107,La Ventanita de Nunez II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,6.00,18954.11,35.00,73921.03,10369.00,62214.00,11707.03,0.16,R. Ibarra
2025-05-07,2025-05,FAC 0003-00041685,FAC,false,C0129,Bar San Telmo II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,2.00,18546.10,32.00,25222.69,10146.00,20292.00,4930.69,0.20,M. Paz
2025-05-17,2025-05,FAC 0003-00041944,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,6109.30,0.00,12218.60,2793.00,5586.00,6632.60,0.54,
2025-06-23,2025-06,FAC 0003-00042316,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-CAPS-10,CAF-CAPS-10,false,,Capsulas compatibles x10,UN,CAFE,S,3.00,7693.14,0.00,23079.42,3679.00,11037.00,12042.42,0.52,
2025-04-05,2025-04,FAC 0003-00041247,FAC,false,C0101,El Almacen de Palermo II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,7.00,18146.87,35.00,82568.24,9927.00,69489.00,13079.24,0.16,
2025-05-01,2025-05,FAC 0003-00041738,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,6109.30,0.00,12218.60,2793.00,5586.00,6632.60,0.54,
2025-05-10,2025-05,FAC 0003-00042027,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,10363.99,0.00,20727.99,4473.00,8946.00,11781.99,0.57,
2025-06-27,2025-06,FAC 0003-00042320,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BRAS-250,CAF-BRAS-250,false,,Brasil Cerrado 250 g,UN,CAFE,S,2.00,5909.22,0.00,11818.45,2709.00,5418.00,6400.45,0.54,
2025-05-10,2025-05,FAC 0003-00041841,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,3.00,8945.76,0.00,26837.29,3927.00,11781.00,15056.29,0.56,
2025-06-09,2025-06,FAC 0003-00042171,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,3.00,6243.71,0.00,18731.12,2854.00,8562.00,10169.12,0.54,
2025-05-22,2025-05,FAC 0003-00041686,FAC,false,C0129,Bar San Telmo II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,8.00,18546.10,32.00,100890.76,10146.00,81168.00,19722.76,0.20,
2025-01-05,2025-01,FAC 0003-00040047,FAC,false,C0133,El Almacen de Barracas II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,4.00,17000.00,35.00,44200.00,9300.00,37200.00,7000.00,0.16,M. Paz
2025-01-10,2025-01,FAC 0003-00040022,FAC,false,C0109,Usina Colegiales II,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,4.00,18000.00,32.00,48960.00,9800.00,39200.00,9760.00,0.20,M. Paz
2025-05-14,2025-05,FAC 0003-00041870,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,8945.76,0.00,17891.53,3927.00,7854.00,10037.53,0.56,
2025-05-28,2025-05,FAC 0003-00041731,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAP-TAZA,CAP-TAZA,false,,Taza ceramica logo,UN,ACCESORIOS,S,3.00,9709.43,0.00,29128.28,4582.00,13746.00,15382.28,0.53,
2025-04-21,2025-04,FAC 0003-00041391,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-CAPS-10,CAF-CAPS-10,false,,Capsulas compatibles x10,UN,CAFE,S,3.00,7365.49,0.00,22096.48,3523.00,10569.00,11527.48,0.52,
2025-04-27,2025-04,FAC 0003-00041282,FAC,false,C0134,Bar Agronomia,Mayorista,CABA,CAP-FILTRO-100,CAP-FILTRO-100,false,,Filtros de papel x 100,UN,ACCESORIOS,S,2.00,3415.88,35.00,4440.64,2028.00,4056.00,384.64,0.09,M. Paz
2025-02-01,2025-02,FAC 0003-00040834,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAP-FILTRO-100,CAP-FILTRO-100,false,,Filtros de papel x 100,UN,ACCESORIOS,S,2.00,3270.40,0.00,6540.80,1942.00,3884.00,2656.80,0.41,
2025-04-12,2025-04,FAC 0003-00041292,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BRAS-250,CAF-BRAS-250,false,,Brasil Cerrado 250 g,UN,CAFE,S,2.00,5657.55,0.00,11315.10,2594.00,5188.00,6127.10,0.54,
2025-03-07,2025-03,FAC 0003-00040909,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,3.00,9922.60,0.00,29767.79,4282.00,12846.00,16921.79,0.57,
2025-06-26,2025-06,FAC 0003-00042283,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,10592.00,0.00,21184.01,4571.00,9142.00,12042.01,0.57,
2025-04-05,2025-04,FAC 0003-00041325,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,5977.79,0.00,11955.58,2733.00,5466.00,6489.58,0.54,
2025-04-14,2025-04,FAC 0003-00041265,FAC,false,C0120,Tostado Chacarita,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,8.00,18146.87,32.00,98718.95,9927.00,79416.00,19302.95,0.20,
2025-01-23,2025-01,FAC 0003-00040084,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-DESCA-250,CAF-DESCA-250,false,,Descafeinado 250 g,UN,CAFE,S,1.00,7400.00,0.00,7400.00,3500.00,3500.00,3900.00,0.53,
2025-05-22,2025-05,FAC 0003-00042021,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,2.00,19637.04,0.00,39274.09,10691.00,21382.00,17892.09,0.46,
2025-01-04,2025-01,FAC 0003-00040038,FAC,false,C0125,Usina Flores II,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,9.00,18000.00,32.00,110160.00,9800.00,88200.00,21960.00,0.20,R. Ibarra
2025-06-09,2025-06,FAC 0003-00042296,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,1.00,9142.57,0.00,9142.57,4014.00,4014.00,5128.57,0.56,
2025-03-27,2025-03,FAC 0003-00041101,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,3.00,5849.11,0.00,17547.33,2674.00,8022.00,9525.33,0.54,
2025-05-16,2025-05,FAC 0003-00041667,FAC,false,C0112,La Ventanita de Recoleta,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,3.00,18546.10,35.00,36164.89,10146.00,30438.00,5726.89,0.16,R. Ibarra
2025-04-02,2025-04,FAC 0003-00041435,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,1.00,10140.90,0.00,10140.90,4377.00,4377.00,5763.90,0.57,
2025-02-14,2025-02,FAC 0003-00040431,FAC,false,C0107,La Ventanita de Nunez II,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,3.00,18396.00,35.00,35872.20,10016.00,30048.00,5824.20,0.16,R. Ibarra
2025-05-10,2025-05,FAC 0003-00041844,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,1.00,10363.99,0.00,10363.99,4473.00,4473.00,5890.99,0.57,
2025-06-18,2025-06,FAC 0003-00042125,FAC,false,C0128,La Ventanita de San Telmo,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,2.00,18954.11,32.00,25777.59,10369.00,20738.00,5039.59,0.20,M. Paz
2025-01-19,2025-01,FAC 0003-00040034,FAC,false,C0122,El Almacen de Almagro,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,6.00,18000.00,32.00,73440.00,9800.00,58800.00,14640.00,0.20,R. Ibarra
2025-05-27,2025-05,FAC 0003-00042038,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,8945.76,0.00,17891.53,3927.00,7854.00,10037.53,0.56,
2025-05-02,2025-05,FAC 0003-00042076,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,8945.76,0.00,17891.53,3927.00,7854.00,10037.53,0.56,
2025-05-20,2025-05,FAC 0003-00042046,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,1.00,8945.76,0.00,8945.76,3927.00,3927.00,5018.76,0.56,
2025-05-03,2025-05,FAC 0003-00041687,FAC,false,C0131,Tostado Coghlan II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,3.00,18546.10,35.00,36164.89,10146.00,30438.00,5726.89,0.16,R. Ibarra
2025-05-16,2025-05,FAC 0003-00041736,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-DESCA-250,CAF-DESCA-250,false,,Descafeinado 250 g,UN,CAFE,S,3.00,8073.01,0.00,24219.02,3818.00,11454.00,12765.02,0.53,
2025-04-15,2025-04,FAC 0003-00041302,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,8753.19,0.00,17506.39,3843.00,7686.00,9820.39,0.56,
2025-06-10,2025-06,FAC 0003-00042334,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,1.00,9142.57,0.00,9142.57,4014.00,4014.00,5128.57,0.56,
2025-01-20,2025-01,FAC 0003-00040108,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAP-FILTRO-100,CAP-FILTRO-100,false,,Filtros de papel x 100,UN,ACCESORIOS,S,3.00,3200.00,0.00,9600.00,1900.00,5700.00,3900.00,0.41,
2025-02-13,2025-02,FAC 0003-00040825,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,5723.20,0.00,11446.40,2616.00,5232.00,6214.40,0.54,
2025-04-08,2025-04,FAC 0003-00041421,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-DESCA-250,CAF-DESCA-250,false,,Descafeinado 250 g,UN,CAFE,S,3.00,7899.22,0.00,23697.67,3736.00,11208.00,12489.67,0.53,
2025-06-25,2025-06,FAC 0003-00042325,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,1.00,9142.57,0.00,9142.57,4014.00,4014.00,5128.57,0.56,
2025-02-06,2025-02,FAC 0003-00040492,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,3.00,5723.20,0.00,17169.60,2616.00,7848.00,9321.60,0.54,
2025-01-07,2025-01,FAC 0003-00040090,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,5600.00,0.00,5600.00,2560.00,2560.00,3040.00,0.54,
2025-04-15,2025-04,FAC 0003-00041343,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BRAS-250,CAF-BRAS-250,false,,Brasil Cerrado 250 g,UN,CAFE,S,1.00,5657.55,0.00,5657.55,2594.00,2594.00,3063.55,0.54,
2025-02-26,2025-02,FAC 0003-00040612,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,3.00,8380.40,0.00,25141.20,3679.00,11037.00,14104.20,0.56,
2025-02-25,2025-02,FAC 0003-00040486,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,9709.00,0.00,19418.00,4190.00,8380.00,11038.00,0.57,
2025-03-19,2025-03,FAC 0003-00040921,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,5849.11,0.00,5849.11,2674.00,2674.00,3175.11,0.54,
2025-06-01,2025-06,FAC 0003-00042103,FAC,false,C0110,Panaderia Devoto,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,8.00,18954.11,35.00,98561.37,10369.00,82952.00,15609.37,0.16,M. Paz
2025-04-06,2025-04,FAC 0003-00041452,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,5977.79,0.00,5977.79,2733.00,2733.00,3244.79,0.54,
2025-04-06,2025-04,FAC 0003-00041532,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAP-FILTRO-100,CAP-FILTRO-100,false,,Filtros de papel x 100,UN,ACCESORIOS,S,2.00,3415.88,0.00,6831.76,2028.00,4056.00,2775.76,0.41,
2025-03-11,2025-03,FAC 0003-00040944,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BRAS-250,CAF-BRAS-250,false,,Brasil Cerrado 250 g,UN,CAFE,S,3.00,5535.77,0.00,16607.30,2538.00,7614.00,8993.30,0.54,
2025-01-10,2025-01,FAC 0003-00040086,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,3.00,5600.00,0.00,16800.00,2560.00,7680.00,9120.00,0.54,
2025-06-24,2025-06,FAC 0003-00042138,FAC,false,C0137,Panaderia Villa Urquiza II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,8.00,18954.11,30.00,106143.02,10369.00,82952.00,23191.02,0.22,
2025-02-01,2025-02,FAC 0003-00040593,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,9709.00,0.00,19418.00,4190.00,8380.00,11038.00,0.57,
2025-06-24,2025-06,FAC 0003-00042138,FAC,false,C0137,Panaderia Villa Urquiza II,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,7.00,20069.06,30.00,98338.38,10926.00,76482.00,21856.38,0.22,
2025-05-19,2025-05,FAC 0003-00041715,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,1.00,10363.99,0.00,10363.99,4473.00,4473.00,5890.99,0.57,
2025-05-15,2025-05,FAC 0003-00041920,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,6109.30,0.00,12218.60,2793.00,5586.00,6632.60,0.54,
2025-06-17,2025-06,FAC 0003-00042188,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,9142.57,0.00,18285.14,4014.00,8028.00,10257.14,0.56,
2025-05-17,2025-05,FAC 0003-00041863,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,6109.30,0.00,6109.30,2793.00,2793.00,3316.30,0.54,
2025-04-25,2025-04,FAC 0003-00041530,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,2.00,5977.79,0.00,11955.58,2733.00,5466.00,6489.58,0.54,
2025-02-01,2025-02,FAC 0003-00040436,FAC,false,C0111,Cafe Devoto II,Mayorista,CABA,CAF-BRAS-1K,CAF-BRAS-1K,false,,Brasil Cerrado 1 kg,UN,CAFE,S,4.00,17374.00,35.00,45172.40,9505.00,38020.00,7152.40,0.16,
2025-05-17,2025-05,FAC 0003-00042056,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,1.00,19637.04,0.00,19637.04,10691.00,10691.00,8946.04,0.46,
2025-03-24,2025-03,FAC 0003-00040864,FAC,false,C0119,Coffee Lab Saavedra II,Mayorista,CABA,CAF-BLEND-1K,CAF-BLEND-1K,false,,Blend Casa 1 kg,UN,CAFE,S,5.00,18800.71,35.00,61102.31,10236.00,51180.00,9922.31,0.16,M. Paz
2025-04-16,2025-04,FAC 0003-00041561,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-COLOM-250,CAF-COLOM-250,false,,Colombia Huila 250 g,UN,CAFE,S,2.00,8753.19,0.00,17506.39,3843.00,7686.00,9820.39,0.56,
2025-01-19,2025-01,FAC 0003-00040066,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAF-ETIOP-250,CAF-ETIOP-250,false,,Etiopia Yirgacheffe 250 g,UN,CAFE,S,2.00,9500.00,0.00,19000.00,4100.00,8200.00,10800.00,0.57,
2025-02-12,2025-02,FAC 0003-00040735,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,5723.20,0.00,5723.20,2616.00,2616.00,3107.20,0.54,
2025-02-22,2025-02,FAC 0003-00040429,FAC,false,C0106,El Almacen de Nunez,Mayorista,CABA,CAP-FILTRO-100,CAP-FILTRO-100,false,,Filtros de papel x 100,UN,ACCESORIOS,S,4.00,3270.40,30.00,9157.12,1942.00,7768.00,1389.12,0.15,M. Paz
2025-04-04,2025-04,FAC 0003-00041344,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAP-TAZA,CAP-TAZA,false,,Taza ceramica logo,UN,ACCESORIOS,S,1.00,9500.42,0.00,9500.42,4483.00,4483.00,5017.42,0.53,
2025-02-23,2025-02,FAC 0003-00040771,FAC,false,C9001,CONSUMIDOR FINAL,Local,CABA,CAF-BLEND-250,CAF-BLEND-250,false,,Blend Casa 250 g,UN,CAFE,S,1.00,5723.20,0.00,5723.20,2616.00,2616.00,3107.20,0.54,
2025-05-26,2025-05,FAC 0003-00041932,FAC,false,C9002,VENTA ONLINE,Ecommerce,,CAP-FILTRO-100,CAP-FILTRO-100,false,,Filtros de papel x 100,UN,ACCESORIOS,S,3.00,3491.03,0.00,10473.09,2073.00,6219.00,4254.09,0.41,
